movieId,title,avgVote,releaseYear,genres
138686,The Marathon,7.100000,2012,Comedy:Drama
138697,Don Jon,6.200000,2013,Comedy:Drama
138832,We're the Millers,7.000000,2013,Comedy:Crime
138843,The Conjuring,7.300000,2013,Horror:Thriller
139038,A Haunted House,5.600000,2013,Comedy:Horror
139455,Silent Night,4.600000,2012,Horror:Mystery:Thriller
139519,Magic Magic,5.400000,2013,Thriller
139567,Fire with Fire,5.900000,2012,Action:Crime:Drama:Thriller
139651,Haute Cuisine,7.100000,2012,Comedy
139933,Kiss of the Damned,4.500000,2012,Drama:Horror:Romance
140222,Love and Honor,7.100000,2012,Drama:Romance:War
140420,Paperman,8.500000,2012,Animation:Romance:Family:Short
140607,Star Wars: Episode VII,8.300000,2015,Action:Adventure:Fantasy:Science Fiction
140818,Ragnarok,5.800000,2013,Action:Adventure
140823,Saving Mr. Banks,7.600000,2013,Comedy:Drama:History
141043,A Long Way Down,6.700000,2014,Comedy:Drama
141058,A Viking Saga: The Darkest Day,3.500000,2012,Action:Adventure:Thriller
142061,"Batman: The Dark Knight Returns, Part 2",7.800000,2013,Action:Animation
143049,Adult World,5.900000,2014,Comedy
144336,Sabotage,6.000000,2014,Action:Crime:Drama:Thriller
144340,Admission,5.500000,2013,Comedy:Drama:Romance
144789,I'm So Excited!,6.000000,2013,Comedy
145135,Dark Skies,5.900000,2013,Horror:Science Fiction:Thriller
145197,Upstream Color,6.700000,2013,Drama:Science Fiction
145220,Muppets Most Wanted,6.700000,2014,Adventure:Comedy:Crime:Musical:Family
145247,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,6.900000,2013,Adventure:Comedy:Drama
146015,The Double,6.500000,2014,Drama:Thriller
146203,The Last Exorcism Part II,4.900000,2013,Horror:Thriller
146216,RED 2,6.400000,2013,Action:Comedy:Crime:Thriller
146223,Closed Circuit,5.900000,2013,Crime:Drama:Mystery:Thriller
146227,Getaway,5.300000,2013,Action:Crime
146233,Prisoners,7.800000,2013,Crime:Drama:Thriller
