personId,name,birthYear,deathYear
11356,Imelda Staunton,1956,
11367,Bradley Whitford,1959,
11477,Ray Liotta,1954,
11514,Catherine O'Hara,1954,
11616,Olivia Williams,1968,
11662,Jason Lee,1970,
11677,Terry Chen,1975,
11701,Angelina Jolie,1975,
11702,Adam Brody,1979,
11803,Peter Greene,1965,
11870,Christine Baranski,1952,
11902,Robin Bartlett,1951,
12052,Gwyneth Paltrow,1972,
12073,Mike Myers,1963,
12074,John Lithgow,1945,
12133,Laurie Metcalf,1955,
12549,Brett Rickaby,1964,
12797,Glenn Morshower,1959,
12799,Jeremy Piven,1965,
12851,Ally Sheedy,1962,
12898,Tim Allen,1953,
12900,Wallace Shawn,1943,
13014,Toby Jones,1967,
13021,William Baldwin,1963,
13022,Tom Berenger,1949,
13240,Mark Wahlberg,1971,
13242,Paul Giamatti,1967,
13275,Tadanobu Asano,1973,
13477,Jonathan Adams,1967,
13550,Elias Koteas,1961,
13633,Mark Addy,1964,
13726,Ned Beatty,1937,
13812,Tilo Prückner,1940,
14343,Rene Russo,1954,
14464,Jenny Agutter,1952,
14723,Vicki Lewis,1960,
14741,Philippe Bergeron,1959,
15033,Justin Long,1978,
15110,Brooke Shields,1965,
15277,Jon Favreau,1966,
15318,Keith Campbell,1962,
15440,Jared Harris,1961,
15453,Debra Jo Rupp,1951,
15498,Liam Cunningham,1961,
15543,Derek Luke,1974,
15556,Rebecca Hall,1982,
15564,Keith Robinson,1976,
15576,Matthew Macfadyen,1974,
15661,Clint Howard,1959,
15737,Helen McCrory,1968,
15758,Queen Latifah,1970,
15852,Ashley Judd,1968,
15854,Ted Levine,1957,
15887,Julia Ormond,1965,
16327,Timothy Hutton,1960,
16358,Simon McBurney,1957,
16450,Sean Combs,1969,
16483,Sylvester Stallone,1946,
16644,Dolph Lundgren,1957,
16828,Chris Evans,1981,
16841,Brett Cullen,1956,
16851,Josh Brolin,1968,
16859,Tammy Blanchard,1976,
17005,Doug Jones,1960,
17052,Topher Grace,1978,
17141,Greg Kinnear,1963,
17183,Jackie Earle Haley,1961,
17199,Corey Johnson,1961,
17200,Bill Smitrovich,1947,
17244,Hayden Christensen,1981,
17265,Hayden Panettiere,1989,
17271,Brandon Routh,1979,
17276,Gerard Butler,1969,
17287,Dominic West,1969,
17288,Michael Fassbender,1977,
17341,Amaury Nolasco,1970,
17352,Marianne Jean-Baptiste,1967,
17486,Alison Pill,1985,
17487,John Gallagher Jr.,1984,
17495,Martha Plimpton,1970,
17604,Jeremy Renner,1971,
17605,Idris Elba,1972,
17606,Imogen Poots,1989,
17628,Mary Elizabeth Winstead,1984,
17647,Michelle Rodriguez,1978,
17743,Miranda Cosgrove,1993,
17764,Charles S. Dutton,1951,
17782,Colm Meaney,1953,
17832,Carla Gugino,1971,
17834,Jake Cherry,1996,
17881,Jason Schwartzman,1980,
18067,Rachael Stirling,1977,
18082,Timothy Olyphant,1968,
18182,Olga Kurylenko,1979,
18269,Brendan Fraser,1968,
18284,Loretta Devine,1949,
18313,Michael Rispoli,1960,
18324,Steve Zahn,1967,
18352,Patrick Dempsey,1966,
18616,David Morrissey,1964,
18793,Kieran Culkin,1982,
18897,Jackie Chan,1954,
18918,Dwayne Johnson,1972,
18973,Mila Kunis,1983,
18976,Ashton Kutcher,1978,
18997,Bryce Dallas Howard,1981,
19151,James Eckhouse,1955,
19487,Jay Hernandez,1978,
19498,Jon Bernthal,1977,
19508,Nolan North,1970,
19536,Josh Duhamel,1972,
